True_Equation,Predict_Equation,MSE,R^2,Relative Error
x_1+x_2,#NAME?,1.63E-13,1,5.11E-08
x_1+1.088*x_2,x_1 + 0.590862153140826*x_2 - (-0.497137830514726*x_2**2 + 9.70202734143785e-9*x_2)/x_2,1.31E-13,1,7.57E-08
x_1+x_2,-4.60241229120617e-10*x_1**2*x_2 + x_1 + x_2,1.07E-13,1,5.77E-08
1.065*x_1+x_2,#NAME?,2.64E-13,1,1.11E-07
#NAME?,-0.405000011410174*x_1 + x_2 - (1.08254843904312e-8*x_2**2 - 0.0939599581537787*x_2)/x_2,1.17E-13,1,9.63E-08
x_1-1.833*x_2-3.040947,x_1 + (-0.990374116123816*x_2 - 1.0394886132737)/cos(1) - 1.11704516928808,5.30E-13,1,1.05E-07
1.282*x_1+1.771*x_2-2.601599,1.28199999558449*x_1 + 1.47506131719256*x_2 + (0.295938682005447*x_2**2 - 2.60159888684848*x_2)/x_2,4.63E-13,1,1.59E-07
#NAME?,x_1*(3.81074327730811e-5*x_2 + 0.0234963080107903) - x_1 + x_2 + 0.00243564002683178,0.007377803,0.999872208,0.030287735
#NAME?,#NAME?,1.56E-13,1,1.06E-07
x_1+0.988036*x_1**3.341,0.999881182093025*x_1 + 0.988041592165927*x_1**3.34099774032769,3.17E-08,1,9.56E-06
x_1**2+1.155*x_1-2.13906,x_1**2 + 1.15500004017737*x_1 - 2.13905922079366,9.22E-12,1,1.72E-07
x_1+20.9971167535175*(0.626174076393237*x_1-1)**2,x_1 + 20.9971164198963*(0.626174079347195*x_1 - 1)**2,1.71E-09,1,7.55E-08
x_1**2+0.804*x_1,x_1**2 + 0.804000103211239*x_1,9.97E-12,1,9.20E-08
x_1**0.008+x_1,x_1 + (x_1**1.36448051390888)**0.0058630512812412,6.53E-14,1,2.38E-08
x_1+0.518408640036*(0.768049155145929*x_1-1)**2,0.305809005211477*x_1**2 + 0.203673358727914*x_1 + 0.518409095691942,1.16E-12,1,1.71E-07
x_1+x_1**2.264,1.00000194981706*x_1 - 1.6393366146884e-5*x_1*exp(-x_1) + x_1**2.26399992446848,7.47E-11,1,5.39E-07
x_1**2+x_1-0.09,(x_1 + 1.08309540576259)*(x_1 - 0.623397675189076 + cos(1)),1.15E-11,1,5.10E-07
x_1**(-3.264)+x_1,x_1 + (x_1**(-4.09609645047233))**0.796856232699425,4.94E-10,1,2.95E-08
x_1**4*sqrt(x_2)+x_1,x_1 + x_2**0.499999982277482*(x_1**2 + 1.71151845777944e-8*x_1)**2,3.01E-07,1,9.96E-08
x_1**4*sqrt(x_2)+x_1,0.999999965505738*x_1**4*x_2**0.500000034334149 + 1.00000171351268*x_1,9.11E-07,1,3.39E-07
x_1**4*sqrt(x_2)+x_1,x_1**4*x_2**0.499999997028184 + 1.00002177578889*x_1,8.08E-07,1,8.42E-06
x_1**4*sqrt(x_2)+x_1,x_1**4*sqrt(x_2) + 1.00000752122071*x_1,5.96E-07,1,3.73E-06
x_1+x_1**2.401/x_2**0.173,0.999999780440271*x_1 + x_1**2.40100001071314/x_2**0.172999998914088,3.51E-11,1,7.17E-08
x_1+sqrt(x_2)*(x_1+0.882)**4-0.177,x_1 + x_2**0.499999961210999*(x_1 + 0.882000046104517)**4 - 0.176919701344937*(3.59394804706683e-5*x_1 + 1)**4,6.17E-07,1,1.05E-05
x_1+x_1**4.472*sqrt(x_2),-107.489019341242*x_1 + 2.32680843437302*x_1**4.10927684281681*x_2**0.466219905546591,508921.3125,0.997781813,9.150351524
x_1**0.22*sqrt(x_2)+1.133*x_1,1.11561839578397*x_1 + 0.979372968043031*sqrt(sqrt(x_1)*x_2),0.002211749,0.999851704,0.007406397
0.801249024960405*x_1**4*sqrt(x_2)+x_1,0.801248996415299*x_1**4*x_2**0.5000000391902 + 0.99999489313415*x_1,5.17E-07,1,1.19E-06
sin(2*x_1+log(x_1)),sin(2.00000002757057*x_1 + log(0.562396437016386*x_1) + 0.575548096510655),1.03E-13,1,2.10E-06
sin(2*x_1+log(x_1)),sin(2*x_1 + log(0.965618525974254*x_1) + 0.0349863425248581),7.63E-14,1,2.21E-06
sin(2*x_1+log(x_1-0.666)),-sin(2.50796426906198*x_1 + 2.46186804996848*(-0.265965788353047*x_1 + sqrt(x_1 + 0.232701092043659))**3),0.029889995,0.942903459,0.280557454
1.325*sin(2*x_1+log(x_1))+0.8268,1.32499996522841*sin(2*x_1 + log(0.999999783340447*x_1)) + 0.826800128666998,2.19E-13,1,8.01E-07
sin(2*x_1+log(x_1-0.526)-2.06)+1.578,sin(2*x_1 + log(x_1 - 0.526000910790256) - 2.06000049382002) + 1.57799895067472,2.29E-12,1,9.46E-07
sin(2*x_1+log(1.033*x_1))-0.424,cos(2*x_1 + log(0.214739613219683*x_1)) - 0.424000030212083,1.21E-13,1,8.26E-07
sin(2.713*x_1+log(x_1)),sin(2.71299999682201*x_1 + log(x_1) + 1.5487187844028e-8),3.58E-13,1,1.04E-06
sin(2.514749104*x_1+log(x_1)),#NAME?,2.17E-13,1,1.93E-06
sin(2*x_1+log(-1.309*x_1)-2.894),sin(2.0000000112074*x_1 + log(-38.8011192727784*x_1)),1.22E-13,1,1.02E-06
sin(2*x_1+log(x_1)),cos(2.00000000796771*x_1 + log(0.428993689257847*x_1) - 0.724483258905647),9.06E-14,1,1.47E-06
x_1**2*(x_1**(-5.296)+x_1+x_2),x_1**(-3.29600006608534) + x_1*(x_1*(x_1 + x_2 - 0.999999867569878) + x_1),1.81E-09,1,1.21E-07
x_1**2*(x_1+x_2+4.06586896*(0.704225352112676*x_1-1)**4),x_1*(x_2 - 14725.9239842685*(-0.02192508943825*x_1 - 1)**3 - 0.0496764806273633*(x_1 - 0.389504082247386)**5 - 17324.1724929764),39687576,0.92621237,379.7850037
x_1**2*(x_1+x_2+16.0289991137365*(0.675675675675676*x_1-1)**5),x_1**2*(x_2 + (653.412435653163*x_1 - 679.134417836934)*exp(-0.0288332813159739*(x_1 - 0.0123010174347013)**2)),94595800,0.933753371,17.9929924
x_1**2*(x_1**4+x_1+x_2),x_1**2*(x_1 + x_2 - 0.0571064904648059*(x_1 + 0.0199492556670619)**4 + 1025.9968009075),50211728,0.899212301,127.3480301
x_1**2*(x_1**4+x_1+x_2),x_1**3*(31.7358866669489*x_1 + x_2 - 0.287600633512356*(x_1 + 0.0117586025908461)**3),33196096,0.936900973,2.957636833
x_1**2*(x_1**4+x_1+x_2),x_1**2*(x_2 + 695.909427367165*(0.0045735870670739*x_1 + 1)**4),114231456,0.793650806,42.85464478
(x_1-0.237)**2*(x_1**4+x_1+x_2),(8206.8829364516 - 38.9352650454849*x_1)*(0.0201987960436989*x_1**2 - 0.0123705278244636*x_2 + 1)**2,146409488,0.722174644,209828.8125
x_1**2*(x_1**(-1.4952)+x_1+x_2),x_1**2*(x_1**(-1.49519973549543) + x_1 + x_2),2.28E-09,1,2.58E-07
x_1**2*(x_1+x_1**5+x_2),x_1**2*(-2.91330487200153*x_1**3 + 307.997012017984*x_1 + x_2),80599216,0.944700122,16.46172333
x_1**2*(x_1**4+x_1+x_2),x_1**2*(-0.0565151014493534*x_1**4 + x_1 + x_2 + 1020.20904716036),39889260,0.926092625,121.2184753
-0.752445447705041/(x_1**2*x_2),-0.752445418425972/(x_1**2*(x_2 + 1.11840170635223e-8)),5.05E-15,1,6.29E-07
x_1**2.064/x_2,x_1**2*(x_1**0.0640006893378926 - 2.0282963951917e-7*x_1)/x_2,5.22E-11,1,2.23E-06
0.763856012687581/(x_2*(0.785545954438335*x_1+1)**1.116),0.76386049399721/(x_2*(0.785540499179057*x_1 + 1)**1.11600913531918),3.62E-13,1,3.41E-06
1/(x_1**2*x_2),1/(x_1**2*(x_2 + 6.91324583625585e-9)),1.87E-15,1,4.34E-07
1/(x_2*(x_1+0.514)**2),1/(x_2*(x_1 + 0.514000005676911)**2),5.25E-12,1,5.45E-07
1/(x_1**2*(x_2-1.734)),0.999998648564697/((x_2 - 1.73400008061617)*(6.43437770605045e-8*x_1*(x_2 + 0.415010760941889) - x_1)**2),1.81E-12,1,1.41E-06
0.590038747792348/(x_1**2*x_2),0.590038790588897/(x_1**2*x_2),4.76E-15,1,8.09E-07
1/(x_1**2*x_2),1/(x_1**2*x_2),2.94E-13,1,3.54E-07
1/(x_2*(x_1+0.663)**2),1/(x_2*(x_1 + 0.662999989480245)**2),9.84E-12,1,4.78E-07
1/(x_1**0.969*(x_2+0.12)),1.0000008271326/(x_1**0.969003901195761*(x_2 + 0.119998801134023)),1.16E-12,1,5.20E-06
0.777924*x_1*x_2*(x_1*x_2**2+x_1),0.777923920602063*x_1**2*x_2*(2.00000574269527*x_2 + 1.00000533177005*(0.999997334125636*x_2 - 1)**2),9.89E-07,1,6.20E-07
1.852321*x_1*(x_1+x_2**2*(x_1+0.056))*(x_2+1.354),(1.12189938383082*x_2 + 1.61914410873824)*(0.608445222445513*x_1**2*(0.966020200815997 - x_2)**2 + 34.1594076832335*x_1**2),36628748,0.924539804,2.676211596
x_1*x_2*(x_1*x_2**2+x_1),0.96708593423281*x_1**2*x_2*(x_2**2 + 0.146863271066543*x_2 + 1.78428084339946),324749.6563,0.998265922,0.114393912
x_1*x_2*(x_1*x_2**2+x_1),(x_1 + 0.212120120681766)**2*(0.929336347386244*x_2**3 + x_2),2825464.75,0.987117648,2.199702501
x_2*(x_1-1.36)*(x_1*x_2**2+x_1),x_2**2*(x_1 - 1.49412974252756)*(0.967954370791836*x_1*x_2 - 0.335289753045302*x_1),949724.75,0.994567931,0.181374013
x_1*x_2*(x_1*x_2**2+x_1),x_1*x_2*(5.0705478225501*x_1 + 0.885328320357*x_2**2*(x_1 + 0.326880383360192)),2487877.75,0.991827607,0.671850741
x_2*(x_1+1.252)*(x_1*(x_2+0.601)**2+1.729*x_1),x_2*(x_1 + 0.869231299839779)*(0.501717509308265*x_1*(x_2 + 0.327914717215039)**2 + 24.5687535663752*x_1),10968436,0.971381903,2.488624573
x_1*x_2*(1.934881*x_1*(0.718907260963336*x_2-1)**2+x_1),0.876003428395443*x_1**2*(x_2 - 0.973076488188158)**2*(x_2 - sin(0.730668459449873*x_2)),10005116,0.975552082,0.291469127
x_1*x_2*(x_1*x_2**2+x_1),178.036848607865*x_2*(-0.924366020887133*x_1*(0.0384360736002199*x_2 + 1)**2 + x_1)**2,7720703.5,0.972284853,0.341171294
x_1*cos(x_1)/x_2**2,-1.00000040044728*x_1*sin(x_1 - 14.1371670301422)/x_2**2,2.05E-10,1,7.77E-07
x_1*cos(x_1+0.289)/x_2**2,(1.00000006498324*x_1 + 6.02074145242269e-8)*cos(x_1 + 0.289000119989845)/x_2**2,1.33E-12,1,8.01E-07
(x_1-0.438)*cos(x_1)/x_2**2,(x_1 - 0.438000569277175)*cos(x_1)/x_2**2,2.11E-13,1,4.40E-07
(x_1-0.976)*cos(x_1-1.468)/x_2**1.532,(0.975901750751341 - x_1)*sin(x_1 - 3.03882462658009)/x_2**1.53200847418656,8.44E-08,1,0.000223034
x_1*cos(x_1)/x_2**2,x_1*sin(x_1 + 1.57079601547485)/x_2**2,5.00E-13,1,8.05E-07
(x_1-1.759)*cos(x_1)/x_2**2,(x_1 - 1.75900011012066)*cos(x_1)/(x_2*(x_2 + tan(9.69498123016949e-8*x_2))),8.19E-14,1,5.30E-07
(x_1+1.35)*cos(x_1)/x_2**2,(x_1 + 1.35000003455223)*cos(x_1)/(x_2*(x_2 - 8.24732886142795e-9)),2.26E-10,1,1.96E-07
(x_1-0.947)*cos(x_1)/x_2**0.743,(x_1 - 0.947000243230239)*sin(x_1 + 1.5707963501663)/x_2**0.742999997326045,1.41E-13,1,3.51E-07
x_1*cos(x_1)/x_2**2,(1.00000036494921*x_1 + 2.28754495748551e-6)*cos(x_1)/x_2**2,2.94E-11,1,2.14E-06
-1.026*x_1*cos(x_1)/x_2**2,x_1*sin(x_1 + 67.763106809905)/(x_2 - 0.00622053521813814)**2,2.176221371,0.99999994,0.531283319
(x_1-0.156)**(3/2),sqrt((x_1 - 0.155999986301027)**3),8.25E-13,1,5.08E-08
x_1**(3/2),x_1**(3/2),4.48E-13,1,3.02E-08
0.771977814129775*x_1**0.39,0.771977865647419*x_1**0.389999981627054,3.69E-15,1,2.30E-08
0.235173002277047*(-x_1)**(3/2),0.23517300849424*(-x_1)**(3/2),3.86E-14,1,4.28E-08
1.17895245705669*(0.896057347670251*x_1-1)**(3/2),1.17895190762387*(0.896057626066267*x_1 - 1)**(3/2),9.73E-13,1,1.18E-06
2.51912393273316*(0.520020800832033*x_1+1)**1.032,x_1 + 0.561002098341073*(0.566101607702052*x_1 + 1)**1.10967461120954 + 1.9583353281847,1.56E-07,1,0.000193225
x_1**0.318,x_1**0.318000001024311,2.91E-15,1,1.04E-08
27.0981154185371*(0.575043128234618*x_1-1)**5.963136,2505.17692026224*(-0.00275194619401367*sqrt(x_1)*exp(x_1/2) + 0.399388476916039*x_1 - 1)**5,9083601,0.980490029,34960.10156
x_1**(3/2),x_1**(3/2) - 1.15554943348532e-8*x_1*(x_1 - 0.821025859284266),7.57E-13,1,3.23E-08
log(tan(log(log(x_1))**3)),0.999999783656666*log(0.999999488739929*tan(log(log(x_1))**3)),7.51E-12,1,9.15E-07
log(tan(log(log(x_1))**1.365)),1.33622835002444*log((0.0665484183466308*x_1 + 1.70560173209323)*log(sqrt(log(x_1)))),9.37E-06,0.999987185,0.023014655
log(tan(log(log(1.403*x_1))**(-0.27))+1.854),(x_1 + (0.533091034658429*x_1 - 0.261589090969826)/log(x_1 - 1.19004013622395))/x_1,4.11E-05,0.999753416,0.001967825
log(tan(log(log(x_1))**3)),0.999999207678675*log(0.999998987208413*tan(log(log(x_1))**3)),1.76E-09,1,1.33E-06
log(-tan(2.803221*log(log(x_1))**1.757))+1.932,sqrt(x_1) - 1174.63283798845*log(x_1**(-17.1974732480135))/(0.369165750629581*x_1 - 1)**14.673920879257,0.0581601,0.939979851,0.058844838
log(-1.338*tan(log(1.453*log(x_1))**3)),log(-x_1/(x_2 - 18722.8784372721) + 7288.22551019626*(0.258508736360624*log(x_1 + 45.884297636794) - 1)**2),4.208569527,0.799632311,1.700528145
log(tan(2.186875592*(0.770416024653313*log(log(x_1))-1)**3)),-tan(0.909009232473821*log(x_1 - x_1**3.37613173753004 + 51.1703017827186)),1.726362467,0.267650604,6.001583099
0.638*cos(log(x_1))-0.314*tan(0.223*x_2),0.0240522306856133*tan((-x_2 - 1.37269658689915*log(x_1))/(x_1 + 2.56524392640762)),10.66067982,0.820573866,1.020662427
cos(log(x_1)+1.397)+tan(x_2),-1.77847636780157*x_1 + sqrt(x_1**2.4180615696942) + tan(x_2) + 0.876147559666866,0.054510266,0.999523401,0.191696584
0.985*cos(log(x_1))+tan(x_2-0.676),-0.0108977074934777*tan(sqrt(x_1) - 0.582213906407301*x_1**0.875668008893486 + 0.647297786833375*x_2),11.48055649,0.368091464,1.033682823
cos(log(x_1))+tan(x_2)+1.015,x_1**(-0.128894435726302) + 0.75518722671762/(0.697493852808397*x_1 + 1)**0.779404729293359 + tan(x_2),0.186995164,0.998737812,0.377417535
cos(log(x_1-0.487))+tan(x_2)-1.178,#NAME?,0.051748112,0.999873638,0.180634707
cos(log(-1.399*x_1))+tan(x_2),#NAME?,4.18E-05,1,0.002333102
cos(log(0.153*x_1)+0.676)+tan(x_2+1.326),cos(x_2) + tan(0.288581423293119*x_1**0.528560015491132/(0.901982784317337*x_2 - 1)**2),122.1399994,0.988579512,1.856637836
cos(log(x_1))+tan(x_2),#NAME?,3.69E-08,1,0.000105631
1.556*cos(1.356*log(-0.305*x_1))+tan(x_2),0.999977169523761*tan(x_2) - tan(2.62634293693001/(-x_1)**0.0533896235165916),0.480354339,0.999263704,0.964969814
cos(log(x_1)-0.843)+tan(x_2)-1.503,sqrt(x_1) - 0.119315589039071*x_1**1.39301098505678 + tan(x_2) - 1.83352753980426,0.048977375,0.999770224,0.720098555
2.87772485199067*exp(x_1**0.1455+x_1+x_2),7924.82680898178*(0.0379813990068832*x_1 - 0.43824605118976*log(x_1) - 1)**2*exp(0.00998427964644483*x_1 + 0.122308636729628*x_2),155122624,0.712901354,57561.39063
exp(sqrt(x_1)+1.139*x_1+x_2),4105.37102099279*(0.226003845774748*x_1 - 0.860229889309741*log(x_1) - 1)**2*exp(0.229772127609711*x_1 + 0.107649587890133*x_2),168539904,0.696370959,37446.58594
exp(sqrt(x_1)-0.942*x_1+x_2),exp(-0.942001180603316*x_1 + x_2 + 1.00000130427789*sqrt(x_1**1.00000162485923)),4.83E-10,1,0.000147832
exp(x_1+x_2+0.987491598727957/(-x_1-0.515)**0.07),exp(x_1 + x_2 + 0.987483177323224/(-x_1 - 0.51511556233559)**0.0699913471102955),3.60E-07,1,0.002313677
exp(sqrt(x_1)+x_1+x_2),3932.14010218118*exp(x_1**0.640964550355435 - 0.257834775281676*x_1 + 0.123762754953495*x_2),177699184,0.681047201,30556.3125
exp(x_1+x_2+1.24979998399744*sqrt(0.640204865556978*x_1-1)),5255.95990819497*exp(0.180860704057922*x_1 + 0.333684828097786*x_2/sqrt(x_1 - 0.000246255647794672)),136570608,0.730243981,6784.5625
exp(sqrt(x_1)+x_1+x_2),913.501874639778*(-x_1 - 0.586997078254577*x_2 - 0.783547319398936)**2*exp(-1.21621429592773*x_1**0.96270142440769 + x_1),104627848,0.808066726,401344.6875
exp(x_1**(-1.138)+1.10090871556183*sqrt(x_1)+x_2),(981.123070014837*(-0.0325522562859674*x_1 - 1)**2 - 254.914225910049*log(x_1))*exp(0.425487726230519*x_2),27681466,0.892238021,2455.009033
exp(x_1+x_2+0.819483172245384/(-x_1)**0.459),1.24063349328638*exp(x_1 + x_2 + 0.605551558783724*(-x_1)**0.504829956692933)/(-x_1)**0.694329785493911,1.360450029,0.99999994,0.098459005
0.649636*x_1*log(x_2)*tan(x_1-0.62),0.123294106228517*x_1*x_2**1.18336087932786*tan(x_1 - 0.619181164317108),64.9562912,0.829395771,0.327878594
#NAME?,#NAME?,104.5284882,0.872971058,0.381695569
x_1*log(x_2)*tan(x_1),1.0001132121128*x_1*log(x_2)*tan(x_1) + 0.000122449918654779*x_1,3.52E-05,1,0.000452739
x_1*log(x_2)*tan(x_1),#NAME?,8.32E-05,1,0.000157583
x_1*(log(x_2+0.867)+0.311)*tan(x_1+1.848),x_1*x_2*tan(x_1 - 1.28904566976367)/log(x_2 + 1.26364338841234),332.1169128,0.990306377,0.766763449
0.210681*x_1*(log(x_2-0.048)+1.302)*tan(x_1),(-1.32583976165294*x_1*cos(x_2**0.151324563230295) + x_1)*tan(x_1),0.193481579,0.999093235,0.090756759
x_1*(log(0.516*x_2)-0.343)*tan(0.177*x_1),#NAME?,2733.014893,0.878763258,21.61534691
x_1*log(x_2+1.854)*tan(x_1),2.36585159678808*x_1*exp(-1.65580552597129*exp(-0.493191253496181*x_2))*tan(x_1),7.484322071,0.998513758,1.220412135
x_1*log(x_2)*tan(x_1),(0.999993051181638*x_1*log(x_2) + 1.30750578453147e-5*x_1 + 1.73351691070214e-5)*tan(x_1),1.42E-08,1,2.58E-05
-1.321*x_1/(x_2+3.6998907201*(-0.504286434694907*x_1+0.519882922365883*x_2-1)**2),-0.291397941626152*x_1/(2*x_2 + 0.564702664399781*(0.277443606723235*x_1 + 0.123424337538694*x_2 - 1)**2),3.004529715,0.990209639,2.486769199
(x_1+0.372)/(x_2+2.390116*(0.646830530401035*x_1+0.646830530401035*x_2+1)**2),(x_1 + 0.372005798668721)/(x_2 + 2.39011559986761*(0.646830584544407*x_1 + 0.646830584544407*x_2 + 1)**2),5.75E-12,1,2.32E-06
(x_1+1.31)/(x_2+(x_1+x_2)**2),(x_1 + 1.30998900305012)/(x_2 + (x_1 + x_2 + 1.55871552282947e-7)**2),2.36E-11,1,6.47E-06
0.603*x_1/(x_2+(-0.416*x_1+x_2)**2),#NAME?,6.594441414,0.865429759,0.777601957
(x_1+0.738)/(x_2+(x_1+x_2)**2),(1.00000039595509*x_1 + 0.73800012701923)/(x_2 + (x_1 + x_2)**2),3.41E-12,1,4.64E-07
-1.914*x_1/(x_2+(x_1+x_2)**2),-1.91399995158945*x_1/(x_2 + (x_1 + x_2)**2),4.53E-14,1,1.07E-07
-1.239*x_1/(x_2+(0.639*x_1+x_2)**2),-1.23899010497491*x_1/(x_2 + (0.638999368028932*x_1 + x_2 + 3.33258383963488e-6)**2),9.95E-11,1,7.54E-06
x_1/(x_2+(x_1+x_2)**2),x_1/(x_2 + (x_1 + x_2 - 1.35910028308712e-7)**2),5.94E-13,1,0.00023087
-0.302*x_1/(x_2+1.094116*(0.956022944550669*x_1+0.956022944550669*x_2-1)**2),-0.302000542063867*x_1/(x_2 + 1.09411381584591*(0.956023898793432*x_1 + 0.956023898793432*x_2 - 1)**2),1.71E-13,1,2.02E-06
1.652*x_1/(x_2+(x_1+x_2)**2),1.65203487744902*x_1/(x_2 + (x_1 + x_2)**2),1.06E-07,1,2.09E-05
x_1*(0.379*x_1+x_2-0.327456)-x_1+1.932,x_1*(0.379000007733998*x_1 + x_2) - 1.3274559611739*x_1 + 1.93200052635235,7.22E-12,1,2.22E-07
#NAME?,1.96600000479088*x_1*(-x_1 - x_2) - 1.55899994403932*x_1 + 0.335185021580936,7.79E-11,1,1.58E-07
x_1*(x_1+x_2)-x_1-1.182,x_1*(x_1 + x_2 - 1.00000004327989) - 6.87922115383266e-8*x_2 - 1.18200020633347,9.29E-12,1,1.23E-07
#NAME?,1.86080607500566*x_1*(1.54945568139059*x_1 + x_2) - 0.430436123162698*x_1,4.316971302,0.999581754,0.270304024
x_1*(x_1+x_2)-0.777*x_1,x_1*(1.0000000063558*x_1 + x_2 - 1.70094200739383) + 0.923941949557536*x_1,9.65E-12,1,7.36E-08
x_1*(x_1+x_2)-x_1,x_1*(1.00000003274775*x_1 + x_2 - 1.59245485354831) + 0.5924548977979*x_1,8.57E-12,1,4.32E-08
x_1*(x_1+x_2)-x_1-1.123,x_1**2 + x_1*x_2 - 1.00000008319441*x_1 - 1.12300021904842,1.22E-11,1,3.22E-07
1.078*x_1-0.797*(x_1+0.935)*(x_1+x_2),1.07799997001291*x_1 - (0.796999995507793*x_1 + 0.745194951271397)*(x_1 + x_2),8.23E-12,1,2.41E-07
x_1*(x_1+x_2)-0.654*x_1-1.173276,x_1*(x_1 + x_2 - 0.668606930621792) + 0.0146068459270737*x_1 - 1.17327658131191,8.12E-12,1,1.84E-07
x_1*(x_1+x_2)-x_1,x_1*(1.0000000057577*x_1 + x_2 - 0.513487717045818) - 0.486512258970002*x_1,9.31E-12,1,1.94E-07
tan(sqrt(x_1)+x_1),1.00012309402005*tan(x_1**0.499999328075366 + x_1),8.84E-07,1,0.000121519
tan(sqrt(x_1)+x_1),0.999990994742095*tan(sqrt(x_1) + x_1),2.13E-07,1,9.37E-06
tan(1.19540788018149/x_1**0.1885+x_1),0.318382818454076*tan(0.3987885958689*x_1 + log(0.957092235316963*x_1)),7.55901432,0.782656074,4.130230904
1.886*tan(sqrt(x_1)+1.474*x_1),1.88599829164981*tan(sqrt(x_1) + 1.47399997385858*x_1),5.87E-09,1,3.35E-06
tan(x_1+sqrt(x_1+0.803))-0.528,0.011719619613049/((0.0384265744469172*x_1 + 1)**1.36437028037307*(tan(x_1) + 1.28685886674248)),37.94920349,0.938014269,1.007659793
tan(x_1+x_1**1.76+1.899)+0.968,0.226506654988051*tan(x_1*(x_1 + log(x_1) + 0.311356236453454)) + 0.711391686583182,27.56588936,0.997607231,1.77188921
tan(0.95236547606473*sqrt(x_1)+x_1),1.00417110190621 - 0.459990995104047*tan(2.32730052416935*sqrt(x_1) - x_1),123.6866379,0.723927498,7.876322746
-1.611*tan(x_1+1.28044490501606*(0.87260034904014*x_1+1)**1.814),0.0342244923675224*tan(2*x_1 - 1.77690792711973/(0.224761619489872*x_1 + 1)**0.674152715165327),32.74313354,0.912047207,0.959155023
tan(sqrt(x_1)+1.559376*x_1),tan(sqrt(x_1) + 1.55937604901237*x_1),5.74E-10,1,2.56E-06
-tan(1.248*x_1-x_1**1.353)-0.279,tan(2.89611302617969*sqrt(x_1) + Abs(x_1)),28.89421844,0.999807298,3.726578474
x_2+exp(tan(x_1)),x_2 + 18026.9107031582*exp(0.0311064135651835*tan(x_1)) - 17609.7547365221,10662350,0.78225553,294.2991943
x_2+exp(tan(x_1)),x_2 + 3145.85382950906*(-0.105532305787246*tan(x_1) - 1)**2 + tan(x_1 + 3.18846804223113) - 2972.66532637199,10568227,0.85485673,285.8183594
x_2+exp(tan(x_1)),x_2 + 58098.3501038362 - 57509.7853694348*exp(-0.0204508773841139*tan(x_1)),23299092,0.773175359,620.5061035
x_2+1.38755668764055*exp(tan(x_1)),x_2 - 55580.4683487868*(1 - 0.00710859028542333*tan(x_1))**2 + tan(x_1) + 56247.0123632597,13785894,0.810408533,808.8813477
x_2+0.0727005629678815*exp(tan(x_1)),x_2 + 1402.54424053443*(-0.0523061751088069*x_1 - 0.0496451598930688*tan(x_1) - 1)**4,27235430,0.625425458,1071.446045
x_2+1.75378509484204*exp(tan(x_1)),x_2 + 0.594468597808685*(0.922482866308578*tan(x_1) + 1)**2 - tan(0.976050848616177*x_1) + 1049.14040109153,25504710,0.649253428,769.5396729
x_2+exp(-tan(0.383*x_1)),x_2 + 112.341135680019*exp(tan(0.329649264654582*x_1)),55782624,0.418618858,217.3797913
x_2+0.652278278889127*exp(1.716*tan(x_1))+0.777,x_2 + 1.62374500120389e-5*exp(tan(x_1)) + 56.1686696705368,112019.3281,0.995484114,97.25718689
x_2+exp(tan(x_1))+0.282,x_2 + exp((0.0605743201836143*x_2 + 0.498788343276915)*tan(x_1)) + 166.440687982344,11049093,0.781008065,76.98709106
x_2+exp(tan(x_1)),x_2 + exp(0.369829038428232*tan(1.01435864525576*x_1)) + 4.37611854939021,349.915741,0.999986708,4.058996677
x_1+0.312269563203623/(0.501002004008016*x_2-1)**1.684,x_1 + 0.239815346925736/(0.428325336689221*x_2 - sin(1) - 0.0134636013830288)**1.68405347592312,5.09E-10,1,4.84E-06
-1.233*x_1+3.47831499648911*(0.644329896907216*x_2+1)**2.836,-1.25250656554535*x_1 + 3.83105035239675*sqrt(2)*(0.47645160872701*x_2 + 1)**3 - 2.92265034965158,1.263864636,0.999985814,0.09177956
x_1+x_2**4,x_1 + x_2**3*(x_2 - 3.15016775379858e-8*(-0.167242067773648*x_2 - 1)**3),6.68E-08,1,1.07E-07
x_1+0.015527402881*x_2**4,x_1 + 0.0155274026619241*x_2**4,2.93E-11,1,1.33E-07
x_1+x_2**4+0.358,x_1 + x_2**3*(-5.79751832041044e-8*x_1 + x_2 - 6.7584877331128e-8) + 0.357978350448971,1.90E-07,1,1.65E-06
x_1+x_2**(-6.424),x_1 + 82445404.3149762*(-x_2 - 0.0183986203816275)**2/(0.0184201508760574*x_2 + 1)**1481.61119834076,4630.706055,0.999936402,0.155388534
-1.866*x_1+12.732914759041/x_2**5.576,-2*x_1 + 0.24657653930798*(tan(x_1) + 0.804634773526283)**3/x_2**5.05506806924815,1746428.5,0.976984501,8.718332291
x_1+x_2**2.463,x_1 + 1.03812009710273e-6*x_2**2 + x_2**2.46299980881787,1.44E-10,1,7.93E-07
x_1+43.7730470450107*(0.7627765064836*x_2+1)**4,x_1 + (-131.476816744536*x_2 + 64.2696211963509*(0.127583939893483*x_2 + 1)**3)*(-7.40901854958443*x_2 - 29.6452368898957),22649738,0.949947,120.9646606
x_1+x_2**4,x_1 + 6.50254347387835e-6*x_2 + (x_2 + 1.69330574373318e-8)**4,1.22E-07,1,3.20E-06
#NAME?,#NAME?,1.21E-09,1,5.46E-07
x_1*x_2*(x_1+x_2)-x_1,x_1*(x_1*x_2 + x_2**2) - 1.00000042074263*x_1,5.69E-10,1,2.00E-07
